1: Wei Liu, weight = 3522
86: Makoto Takizawa, weight = 1728
87: Xin Liu, weight = 1712
88: Filip De Turck, weight = 1695
89: Mario Piattini, weight = 1695
90: Ying Liu, weight = 1694
91: Dacheng Tao, weight = 1693
92: Atsuo Takanishi, weight = 1692
93: Bo Liu, weight = 1689
94: Li Chen, weight = 1687
95: Jian Yang, weight = 1673
96: Wei Wu, weight = 1671
97: Gang Li, weight = 1671
98: Fan Zhang, weight = 1670
99: Jiannong Cao, weight = 1658
100: Jie Li, weight = 1655
101: Xuemin Shen, weight = 1646
102: Min Li, weight = 1645
103: Hong Zhang, weight = 1642
104: Yi Wang, weight = 1629
105: Yu Liu, weight = 1629
106: Xin Li, weight = 1628
107: Nicholas Ayache, weight = 1627
108: Li Li, weight = 1621
109: Mateo Valero, weight = 1619
110: Qing Wang, weight = 1612
111: David Blaauw, weight = 1609
112: Schahram Dustdar, weight = 1594
113: Yi Zhang, weight = 1588
114: Zhu Han, weight = 1575
115: Xin Chen, weight = 1575
116: Jie Liu, weight = 1570
117: Hermann Ney, weight = 1560
118: Hui Wang, weight = 1558
119: Meng Wang, weight = 1557
120: Ralf Steinmetz, weight = 1555
121: Haizhou Li, weight = 1554
122: Qi Tian, weight = 1553
123: Licheng Jiao, weight = 1549
124: Hui Zhang, weight = 1549
125: Yi Liu, weight = 1544
126: Yi Yang, weight = 1541
127: Josef Kittler, weight = 1534
128: Jie Zhang, weight = 1532
129: Feng Liu, weight = 1524
130: Chin-Chen Chang, weight = 1522
131: Fang Liu, weight = 1521
132: Wei Xu, weight = 1519
133: Joel H. Saltz, weight = 1499
134: Yong Yu, weight = 1499
135: Jürgen Teich, weight = 1496
136: Sajal K. Das, weight = 1491
137: Satoshi Nakamura, weight = 1490
138: Chun Chen, weight = 1489
139: Christos Faloutsos, weight = 1489
140: Dinggang Shen, weight = 1487
141: David Zhang, weight = 1479
142: Yunhao Liu, weight = 1472
143: Ying Chen, weight = 1472
144: Rui Zhang, weight = 1468
145: Athanasios V. Vasilakos, weight = 1465
146: Qi Zhang, weight = 1465
147: Witold Pedrycz, weight = 1463
148: Qi Li, weight = 1456
149: Ping Wang, weight = 1450
150: Alok N. Choudhary, weight = 1447
151: Kaushik Roy, weight = 1436
152: Ming Liu, weight = 1435
153: Nicholas R. Jennings, weight = 1430
154: Sungyoung Lee, weight = 1429
155: Bo Li, weight = 1428
156: Carole A. Goble, weight = 1426
157: Francisco Herrera, weight = 1417
158: Tao Yang, weight = 1410
159: Qi Wang, weight = 1403
160: Yu Chen, weight = 1401
161: Robert Schober, weight = 1395
162: Liang Zhang, weight = 1393
163: Hanqing Lu, weight = 1389
164: Chao Zhang, weight = 1386
165: Sébastien Ourselin, weight = 1382
166: Hui Liu, weight = 1380
167: Yang Zhang, weight = 1380
168: Wayne Luk, weight = 1378
169: Ewan Birney, weight = 1376
170: Joachim Hornegger, weight = 1375
171: José Duato, weight = 1373
172: Hideharu Amano, weight = 1370
173: Luc J. Van Gool, weight = 1366
174: John Mylopoulos, weight = 1365
175: Dennis Sylvester, weight = 1357
176: Hiroshi Ishiguro, weight = 1355
177: Jürgen Becker, weight = 1348
178: Ming Zhang, weight = 1343
179: Paolo Dario, weight = 1339
180: Li Wang, weight = 1336
181: Feng Wang, weight = 1333
182: Hsinchun Chen, weight = 1332
183: Mérouane Debbah, weight = 1330
184: Wei Wei, weight = 1322
185: Hans-Peter Meinzer, weight = 1321
186: Wil M. P. van der Aalst, weight = 1319
187: Azzedine Boukerche, weight = 1318
188: Hua Wang, weight = 1314
189: Xuelong Li, weight = 1304
190: Qiang Yang 0001, weight = 1303
191: Xiang-Yang Li, weight = 1302
192: Roland Siegwart, weight = 1301
193: Yan Liu, weight = 1298
194: Qiang Li, weight = 1292
195: Jian Chen, weight = 1286
196: C.-C. Jay Kuo, weight = 1284
197: Oscar C. Au, weight = 1278
198: Wolfgang Rosenstiel, weight = 1276
199: Dhabaleswar K. Panda, weight = 1266
200: Jin Wang, weight = 1266
201: Zhaohui Wu, weight = 1264
202: Yi Li, weight = 1261
203: Albert Y. Zomaya, weight = 1259
204: Leonidas J. Guibas, weight = 1258
205: Xin Zhang, weight = 1256
206: Hiroshi Harada, weight = 1253
207: Václav Snásel, weight = 1244
208: Rui Wang, weight = 1239
209: Gerhard Weikum, weight = 1238
210: Eduard Ayguadé, weight = 1231
211: Hiroshi G. Okuno, weight = 1230
212: Wei Yang, weight = 1229
213: Jia Liu, weight = 1223
214: Di Wu, weight = 1222
215: Sushil Jajodia, weight = 1220
216: Hans-Peter Kriegel, weight = 1220
217: Giovanni De Micheli, weight = 1219
218: Qian Wang, weight = 1219
219: Helmut Krcmar, weight = 1218
220: Bo Xu, weight = 1216
221: Jie Xu, weight = 1214
222: Nadeem Javaid, weight = 1213
223: Donatella Sciuto, weight = 1212
224: Chuang Lin, weight = 1208
225: Eitan Altman, weight = 1208
226: Hao Li, weight = 1208
227: Jian Wu, weight = 1207
228: Ke Xu, weight = 1203
229: Massoud Pedram, weight = 1198
230: Jie Wu 0001, weight = 1195
231: Fan Yang, weight = 1195
232: Jiajun Bu, weight = 1192
233: Michele Zorzi, weight = 1191
234: Chen Wang, weight = 1186
235: Prosenjit Bose, weight = 1186
236: Georgios B. Giannakis, weight = 1186
237: Lei Liu, weight = 1184
238: Rüdiger Dillmann, weight = 1184
239: Chen Chen, weight = 1184
240: Manfred Tscheligi, weight = 1184
241: Wenbo Wang 0007, weight = 1183
242: Yang Xu, weight = 1182
243: Thomas Ertl, weight = 1178
244: C. Lee Giles, weight = 1177
245: Rolf Drechsler, weight = 1176
246: Bin Wu, weight = 1173
247: Bo Wang, weight = 1172
248: Chao Li, weight = 1172
249: Wei Huang, weight = 1170
250: Xi Li, weight = 1169
251: Matteo Sonza Reorda, weight = 1168
252: Milind Tambe, weight = 1167
253: Dong Xu, weight = 1166
254: K. J. Ray Liu, weight = 1166
255: Andrzej Cichocki, weight = 1166
256: Chang Liu, weight = 1161
257: Gerd Hirzinger, weight = 1160
258: Donald F. Towsley, weight = 1159
259: Björn W. Schuller, weight = 1158
260: Masayuki Inaba, weight = 1155
261: Geoffrey Fox, weight = 1153
262: Bart Dhoedt, weight = 1153
263: Cheng Wang, weight = 1144
264: Ling Liu, weight = 1143
265: Adriano Camps, weight = 1142
266: Wei Jiang, weight = 1140
267: Lei Li, weight = 1139
268: Willy Susilo, weight = 1139
269: Dimitris N. Metaxas, weight = 1138
270: Aggelos K. Katsaggelos, weight = 1137
271: Ke Wang, weight = 1136
272: Wouter Joosen, weight = 1136
273: Gerhard Tröster, weight = 1134
274: Yuan Xie 0001, weight = 1133
275: Ning Wang, weight = 1131
276: Markus H. Gross, weight = 1131
277: Rama Chellappa, weight = 1130
278: David W. Bates, weight = 1129
279: Qiang Wang, weight = 1126
280: Bernhard Rumpe, weight = 1126
281: Tat-Seng Chua, weight = 1125
282: Amit P. Sheth, weight = 1125
283: Alejandro F. Frangi, weight = 1124
284: Horst Bischof, weight = 1120
285: Zheng Wang, weight = 1120
286: Wei-Ying Ma, weight = 1118
287: Qiang Liu, weight = 1118
288: Enrico Macii, weight = 1117
289: Alois Knoll, weight = 1117
290: Lei Yang, weight = 1117
291: David J. Hawkes, weight = 1116
292: Jian Liu, weight = 1116
293: Minglu Li, weight = 1115
294: Shojiro Nishio, weight = 1115
295: Wolfram Burgard, weight = 1112
296: Rui Li, weight = 1112
297: Feng Wu, weight = 1110
298: Alberto Del Bimbo, weight = 1107
299: Yu Wang, weight = 1106
300: Noga Alon, weight = 1105
301: Guang-Zhong Yang, weight = 1104
302: Ioannis Kompatsiaris, weight = 1104
303: Jie Chen, weight = 1104
304: Ning Zhang, weight = 1103
305: Edward A. Fox, weight = 1100
306: Ming Li, weight = 1100
307: Feng Zhao, weight = 1099
308: Richard Durbin, weight = 1099
309: Yi Sun, weight = 1099
310: Tarek F. Abdelzaher, weight = 1098
311: Yang Xiao, weight = 1098
312: Jesús Labarta, weight = 1097
313: Bart Preneel, weight = 1097
314: Hsiao-Hwa Chen, weight = 1095
315: Scott Shenker, weight = 1095
316: Jie Tang, weight = 1094
317: Nadia Magnenat-Thalmann, weight = 1093
318: Jeffrey Xu Yu, weight = 1087
319: Dimitrios Soudris, weight = 1087
320: Howard Jay Siegel, weight = 1086
321: Zhe Wang, weight = 1083
322: Makoto Ikeda, weight = 1082
323: Anil K. Jain, weight = 1082
324: Ning Xi, weight = 1082
325: Maarten de Rijke, weight = 1078
326: Qingming Huang, weight = 1077
327: Feng Li, weight = 1077
328: Jun Luo, weight = 1077
329: Krishnendu Chakrabarty, weight = 1076
330: Frank Leymann, weight = 1075
331: Hao Wu, weight = 1075
332: Wiro J. Niessen, weight = 1074
333: Yi Pan, weight = 1073
334: Guanrong Chen, weight = 1070
335: Aoying Zhou, weight = 1070
336: Sudhakar M. Reddy, weight = 1070
337: Kang G. Shin, weight = 1066
338: Marc Moonen, weight = 1064
339: Darwin G. Caldwell, weight = 1064
340: Muriel Médard, weight = 1064
341: Hector Garcia-Molina, weight = 1064
342: Viktor K. Prasanna, weight = 1063
343: Bin Ma, weight = 1062
344: Guy Pujolle, weight = 1061
345: John A. Stankovic, weight = 1061
346: Patrick Girard, weight = 1061
347: Mary Jane Irwin, weight = 1060
348: Ge Yu, weight = 1060
349: Henri Prade, weight = 1058
350: Tharam S. Dillon, weight = 1056
351: Bernd Becker, weight = 1056
352: Ewa Deelman, weight = 1055
353: Daniel Thalmann, weight = 1054
354: Jun Yang, weight = 1053
355: Yong Li, weight = 1052
356: Weisi Lin, weight = 1051
357: Ernesto Damiani, weight = 1051
358: Gerhard Fettweis, weight = 1049
359: Ning Li, weight = 1047
360: Feng Chen, weight = 1046
361: Yue Wang, weight = 1046
362: Xi Zhang, weight = 1045
363: Zheng Chen, weight = 1044
364: Alan F. Smeaton, weight = 1044
365: Dacheng Yang, weight = 1044
366: Bing Li, weight = 1042
367: Micha Sharir, weight = 1042
368: Jason Cong, weight = 1042
369: Majid Sarrafzadeh, weight = 1042
370: Hannu Tenhunen, weight = 1041
371: Tieniu Tan, weight = 1041
372: Edwin R. Hancock, weight = 1039
373: Khaled Ben Letaief, weight = 1037
374: Gang Liu, weight = 1036
375: Shlomo Shamai, weight = 1036
376: Sheng Li, weight = 1036
377: Ee-Peng Lim, weight = 1035
378: Hong Jiang, weight = 1035
379: Daniela Rus, weight = 1035
380: Hong Chen, weight = 1034
381: Rahim Tafazolli, weight = 1033
382: Wei Zhou, weight = 1033
383: Jun Guo, weight = 1033
384: Fumihito Arai, weight = 1033
385: Ping Li, weight = 1032
386: Albrecht Schmidt 0001, weight = 1029
387: Steve Benford, weight = 1029
388: Lei Shi, weight = 1028
389: Lin Chen, weight = 1027
390: Liang Chen, weight = 1026
391: Tao Liu, weight = 1025
392: Karsten Schwan, weight = 1024
393: Jun Chen, weight = 1024
394: Gerd Ascheid, weight = 1024
395: Noel E. O'Connor, weight = 1023
396: Christoph Meinel, weight = 1022
397: Dinesh Manocha, weight = 1019
398: Kai Wang, weight = 1019
399: Jun Ma, weight = 1018
400: Yang Song, weight = 1017
401: Xiaokang Yang, weight = 1016
402: Yoshua Bengio, weight = 1013
403: Bernhard Schölkopf, weight = 1013
404: Jianxin Wang, weight = 1012
405: David Dagan Feng, weight = 1010
406: Ting Liu, weight = 1009
407: Insup Lee, weight = 1008
408: Divyakant Agrawal, weight = 1007
409: Andreas F. Molisch, weight = 1006
410: Lionel M. Ni, weight = 1006
411: Lei Shu, weight = 1005
412: Ron Kikinis, weight = 1005
413: Lothar Thiele, weight = 1004
414: Stefano Ceri, weight = 1004
415: Kiyohiro Shikano, weight = 1002
416: Masayuki Murata, weight = 999
417: P. Sadayappan, weight = 997
418: Wilfried Philips, weight = 996
419: Ioannis Pitas, weight = 992
420: Tianming Liu, weight = 991
421: Xin Yao, weight = 991
422: Tahsin M. Kurç, weight = 989
423: Rajkumar Buyya, weight = 988
424: Zhen Liu, weight = 988
425: Shih-Fu Chang, weight = 987
426: Xiaofang Zhou, weight = 984
427: Laurence Tianruo Yang, weight = 984
428: Norihiro Hagita, weight = 983
429: Masahiro Fujita, weight = 982
430: Henning Müller, weight = 980
431: Yang Wang, weight = 980
432: Xianlong Hong, weight = 979
433: Fei Wang, weight = 979
434: Jun Hu, weight = 979
435: Guillermo Sapiro, weight = 977
436: Siu-Ming Yiu, weight = 976
437: Kian-Lee Tan, weight = 976
438: Alex Waibel, weight = 975
439: Beng Chin Ooi, weight = 975
440: Takeo Kanade, weight = 975
441: Larry S. Davis, weight = 974
442: Bin Liu, weight = 974
443: Oscar Castillo, weight = 973
444: Edwin Hsing-Mean Sha, weight = 973
445: Michael R. Lyu, weight = 972
446: Jing Chen, weight = 972
447: Karl Aberer, weight = 970
448: Rodrigo Lopez, weight = 970
449: Lu Liu, weight = 969
450: Zheng Li, weight = 968
451: Moncef Gabbouj, weight = 968
452: Gareth J. F. Jones, weight = 967
453: Zhongzhi Shi, weight = 965
454: Paul G. Spirakis, weight = 965
455: Carlos José Pereira de Lucena, weight = 964
456: Daniel A. Keim, weight = 964
457: Björn E. Ottersten, weight = 963
458: Rolf Apweiler, weight = 963
459: Bernhard Preim, weight = 961
460: Didier Dubois, weight = 960
461: Changsheng Xu, weight = 958
462: Jian Ma, weight = 958
463: Andrew B. Kahng, weight = 958
464: Jun Wu, weight = 957
465: Reda Alhajj, weight = 956
466: Jun Zhu, weight = 956
467: Minyi Guo, weight = 956
468: Jianping Wu, weight = 956
469: Xiaoou Tang, weight = 955
470: Gerhard Rigoll, weight = 955
471: Tao Chen, weight = 955
472: Thomas A. Henzinger, weight = 955
473: Mark A. Musen, weight = 954
474: Li Guo, weight = 953
475: Svetha Venkatesh, weight = 952
476: Ferran Hurtado, weight = 951
477: Zhiyong Feng, weight = 950
478: Michael J. Franklin, weight = 950
479: Peng Shi 0001, weight = 950
480: Bernard De Baets, weight = 949
481: Calton Pu, weight = 949
482: Mani B. Srivastava, weight = 947
483: Madhav V. Marathe, weight = 947
484: Xue Liu, weight = 946
485: Mohammad S. Obaidat, weight = 946
486: Xian-Sheng Hua, weight = 946
487: Yang Xiang, weight = 945
488: Nanning Zheng, weight = 943
489: Yu Cao, weight = 943
490: Ping Zhang 0003, weight = 943
491: Yang Chen, weight = 941
492: Chau Yuen, weight = 939
493: Antonio F. Gómez-Skarmeta, weight = 939
494: Evangelos Kranakis, weight = 937
495: Choong Seon Hong, weight = 936
496: Leandros Tassiulas, weight = 935
497: Dorin Comaniciu, weight = 935
498: Xilin Chen, weight = 934
499: Chew Lim Tan, weight = 934
500: Katia P. Sycara, weight = 934
501: Xueqi Cheng, weight = 934
502: Jian Huang, weight = 934
503: Xiaohu You, weight = 933
504: Liang-Gee Chen, weight = 931
505: Yuan Yuan, weight = 930
506: Steffen Staab, weight = 930
507: Ting Wang, weight = 928
508: Emilio Luque, weight = 927
509: Sándor P. Fekete, weight = 927
510: Gaurav S. Sukhatme, weight = 927
511: Wolfgang Nejdl, weight = 926
512: Ingrid Verbauwhede, weight = 926
513: Yuan Chen, weight = 925
514: Li Xu, weight = 925
515: Jon Crowcroft, weight = 924
516: Weimin Zheng, weight = 924
517: Marcos André Gonçalves, weight = 924
518: Jörg Henkel, weight = 923
519: Debin Zhao, weight = 922
520: Chao Chen, weight = 921
521: Matthias Jarke, weight = 920
522: Yi Mu, weight = 919
523: Tzung-Pei Hong, weight = 919
524: Shipeng Li, weight = 919
525: Tao Mei, weight = 918
526: Elisabeth André, weight = 917
527: Diego Calvanese, weight = 917
528: Karl Henrik Johansson, weight = 916
529: Sridha Sridharan, weight = 915
530: Huan Liu, weight = 915
531: Narayanan Vijaykrishnan, weight = 914
532: Lei He, weight = 914
533: Jian Pei, weight = 914
534: Vince D. Calhoun, weight = 913
535: Liesbet Van der Perre, weight = 913
536: Cathy H. Wu, weight = 912
537: Ion Stoica, weight = 912
538: Fedor V. Fomin, weight = 911
539: Xin Jin, weight = 911
540: Hao Zhang, weight = 911
541: Yao Wang, weight = 911
542: Liusheng Huang, weight = 910
543: Manish Parashar, weight = 910
544: Wei Lu, weight = 910
545: Jie Zhou, weight = 910
546: Satoshi Goto, weight = 909
547: Michael I. Jordan, weight = 909
548: Stan Z. Li, weight = 906
549: Moshe Y. Vardi, weight = 905
550: Mohsen Guizani, weight = 904
551: Chung-Kuan Cheng, weight = 904
552: Xin Yang, weight = 903
553: Yuan Li, weight = 903
554: Zhihua Wang, weight = 902
555: HongJiang Zhang, weight = 902
556: José E. Moreira, weight = 901
557: Liang Zhao, weight = 900
558: Min Wang, weight = 900
559: Wagner Meira Jr., weight = 900
560: Taghi M. Khoshgoftaar, weight = 899
561: Naixue Xiong, weight = 898
562: Heinrich Niemann, weight = 898
563: Nicu Sebe, weight = 898
564: Antonio Bicchi, weight = 897
565: Xindong Wu, weight = 896
566: Kai Li, weight = 896
567: Jie Wang, weight = 895
568: Wolfgang Lehner, weight = 895
569: Chin-Teng Lin, weight = 895
570: Ümit V. Çatalyürek, weight = 895
571: D. Louis Collins, weight = 895
572: Christian S. Jensen, weight = 894
573: Marc Pollefeys, weight = 893
574: Qiang Wu, weight = 892
575: Dan Wang, weight = 892
576: Klara Nahrstedt, weight = 892
577: Katsushi Ikeuchi, weight = 891
578: Xiang Zhang, weight = 891
579: Naren Ramakrishnan, weight = 889
580: Biswanath Mukherjee, weight = 889
581: Douglas C. Schmidt, weight = 888
582: Peng Liu, weight = 887
583: Xin Zhao, weight = 887
584: Fei Li, weight = 887
585: Wei Hu, weight = 886
586: Bhavani M. Thuraisingham, weight = 886
587: Elmar Nöth, weight = 886
588: Lei Guo 0002, weight = 886
589: Luigi Carro, weight = 885
590: Jia Wang, weight = 884
591: Tim J. P. Hubbard, weight = 884
592: Nei Kato, weight = 884
593: Ramesh Raskar, weight = 882
594: Klaus-Robert Müller, weight = 882
595: Kun Yang, weight = 882
596: Tom Rodden, weight = 879
597: Kishor S. Trivedi, weight = 879
598: Jun Yan, weight = 879
599: Yu Zhou, weight = 878
600: Hao Liu, weight = 877
601: Hong Li, weight = 877
602: Wei-Tek Tsai, weight = 877
603: Li Deng, weight = 876
604: Patricia Melin, weight = 876
605: Divesh Srivastava, weight = 876
606: Vipin Kumar, weight = 876
607: Martin Buss, weight = 875
608: Ling Wang, weight = 874
609: Jiming Chen, weight = 874
610: Thomas Eiter, weight = 873
611: Andrew Zisserman, weight = 872
612: Pascal Bouvry, weight = 872
613: Giuseppe Caire, weight = 872
614: Toby Walsh, weight = 871
615: Fumiyuki Adachi, weight = 871
616: Xia Li, weight = 870
617: Jacob A. Abraham, weight = 869
618: Moti Yung, weight = 869
619: Xiang Chen, weight = 869
620: Long Wang, weight = 868
621: Xiaohua Jia, weight = 867
622: David Maier, weight = 867
623: Hideki Imai, weight = 866
624: Manfred Glesner, weight = 866
625: Hua Xu, weight = 866
626: Hong Mei, weight = 865
627: Yin Zhang, weight = 865
628: Giovanni Semeraro, weight = 864
629: Kai Yu, weight = 864
630: Ming Yang, weight = 863
631: Cheng Li, weight = 860
632: Manuela M. Veloso, weight = 859
633: Ning Zhong, weight = 859
634: Yuan Yan Tang, weight = 859
635: David Haussler, weight = 858
636: Joel J. P. C. Rodrigues, weight = 857
637: Bernd Hamann, weight = 857
638: Gang Feng, weight = 857
639: Jörg Becker, weight = 857
640: Vijay Kumar 0001, weight = 856
641: Yan Huang, weight = 855
642: et al., weight = 854
643: Dan Feng, weight = 853
644: Jin Zhang, weight = 853
645: Stephan Olariu, weight = 853
646: Xiaoming Li, weight = 852
647: Michitaka Hirose, weight = 852
648: Yao Zhao, weight = 852
649: Abdulmotaleb El-Saddik, weight = 850
650: Paul Suetens, weight = 850
651: Lu Wang, weight = 850
652: Qing Liu, weight = 850
653: Adel M. Alimi, weight = 850
654: Pankaj K. Agarwal, weight = 850
655: Stefan Langerman, weight = 849
656: Horst Bunke, weight = 849
657: Mark Harman, weight = 849
658: Jeffrey G. Andrews, weight = 848
659: Mihaela van der Schaar, weight = 847
660: Ingrid Moerman, weight = 847
661: Shi Jin, weight = 846
662: Fabrizio Lombardi, weight = 845
663: Ana Paiva, weight = 845
664: Max A. Viergever, weight = 845
665: Ching Y. Suen, weight = 845
666: Qi Liu, weight = 845
667: Lin Zhang, weight = 844
668: Carl Kesselman, weight = 844
669: Michael Stonebraker, weight = 843
670: Hong Wang, weight = 843
671: Huazhong Yang, weight = 843
672: Heung-Yeung Shum, weight = 842
673: Jianzhong Li, weight = 842
674: Han-Chieh Chao, weight = 841
675: Xinbing Wang, weight = 841
676: Takahiro Hara, weight = 840
677: Raouf Boutaba, weight = 838
678: Joseph S. B. Mitchell, weight = 837
679: Elke A. Rundensteiner, weight = 836
680: Robert W. Heath Jr., weight = 836
681: Michael J. Carey, weight = 836
682: Ian Horrocks, weight = 835
683: Katsumi Tanaka, weight = 835
684: Gang Chen, weight = 835
685: Bernd Girod, weight = 834
686: Yue Liu, weight = 833
687: Chris D. Nugent, weight = 833
688: Enrique S. Quintana-Ortí, weight = 833
689: Lawrence Carin, weight = 832
690: Dong Li, weight = 832
691: Norman W. Paton, weight = 832
692: Xiaolong Wang, weight = 832
693: Didier Colle, weight = 832
694: Jeng-Shyang Pan, weight = 831
695: Mario Pickavet, weight = 831
696: Bo Hu, weight = 831
697: Alfred O. Hero III, weight = 830
698: Marian Bubak, weight = 830
699: Ahmad-Reza Sadeghi, weight = 830
700: Wei Fan, weight = 829
701: Yong Chen, weight = 829
702: Juan M. Corchado, weight = 829
703: Peter J. Stuckey, weight = 828
704: Masahiko Inami, weight = 828
705: Massimo Poncino, weight = 826
706: Jun Ota, weight = 826
707: Zhen Zhang, weight = 826
708: Yong Shi, weight = 826
709: Saket Saurabh, weight = 826
710: Michael Unser, weight = 826
711: Tao Xie, weight = 825
712: Vittorio Murino, weight = 825
713: Norio Shiratori, weight = 825
714: Chi Zhang, weight = 825
715: Rafail Ostrovsky, weight = 825
716: Song Wang, weight = 825
717: Qionghai Dai, weight = 825
718: Wei Dong, weight = 825
719: Jiandong Li, weight = 823
720: Shrikanth Narayanan, weight = 823
721: David De Roure, weight = 823
722: Michel Raynal, weight = 823
723: Sebastian Thrun, weight = 823
724: Joseph M. Hellerstein, weight = 823
725: Bo Chen, weight = 822
726: Tetsuya Ogata, weight = 822
727: Guihai Chen, weight = 821
728: Rong Jin, weight = 821
729: David Eppstein, weight = 821
730: Rainer Leupers, weight = 821
731: Min Xu, weight = 821
732: Mikko Valkama, weight = 820
733: Bu-Sung Lee, weight = 819
734: Robert H. Deng, weight = 818
735: George K. Karagiannidis, weight = 818
736: Theodora A. Varvarigou, weight = 818
737: Hao Yu, weight = 817
738: Samuel Madden, weight = 817
739: Jue Wang, weight = 817
740: Jong Hyuk Park, weight = 816
741: Yves Robert, weight = 816
742: Manish Gupta, weight = 816
743: Aboul Ella Hassanien, weight = 815
744: Xiao Liu, weight = 815
745: John-Jules Ch. Meyer, weight = 815
746: Floriana Esposito, weight = 814
747: Mikael Skoglund, weight = 813
748: Yun Li, weight = 812
749: Trevor Darrell, weight = 812
750: Bart De Moor, weight = 812
751: Song Guo, weight = 809
752: Lin Yang, weight = 809
753: Shiguang Shan, weight = 809
754: Hugo De Man, weight = 808
755: Panagiotis Demestichas, weight = 808
756: Omer F. Rana, weight = 808
757: Paolo Prinetto, weight = 808
758: Greig I. de Zubicaray, weight = 807
759: Ben Shneiderman, weight = 807
760: Tomoya Enokido, weight = 807
761: David Atienza, weight = 806
762: Weili Wu, weight = 806
763: Timothy K. Shih, weight = 806
764: Adrian David Cheok, weight = 806
765: Dharma P. Agrawal, weight = 806
766: Hyunseung Choo, weight = 805
767: Yong He, weight = 805
768: Paul Flicek, weight = 804
769: Xu Zhang, weight = 804
770: Martin Schulz, weight = 804
771: Jan Mendling, weight = 804
772: Branka Vucetic, weight = 804
773: Trevor N. Mudge, weight = 803
774: Ignacio Rojas, weight = 803
775: Abhijit Chatterjee, weight = 803
776: Petri Mähönen, weight = 802
777: Axel Legay, weight = 802
778: Liming Chen, weight = 801
779: Jun Zhou, weight = 801
780: Zhen Li, weight = 801
781: Simon K. Warfield, weight = 801
782: Gang Wu, weight = 801
783: A. Robert Calderbank, weight = 800
784: Sarit Kraus, weight = 800
785: Amr El Abbadi, weight = 798
786: Kannan Ramchandran, weight = 798
787: Pramod K. Varshney, weight = 797
788: Yong Xu, weight = 797
789: Chao Yang, weight = 796
790: Min Liu, weight = 796
791: Yun Zhang, weight = 795
792: Yuguang Fang, weight = 795
793: Alexander G. Hauptmann, weight = 795
794: Fang Wang, weight = 795
795: Hiroshi Saruwatari, weight = 794
796: Qiang Zhang, weight = 794
797: Jan Treur, weight = 792
798: Bernd Freisleben, weight = 792
799: Victor O. K. Li, weight = 792
800: Raghu Ramakrishnan, weight = 792
801: Yong Zhao, weight = 791
